searchStrings	author_id	citedby_url	container_type	eprint_url	filled	gsrank	num_citations	pub_url	source	url_add_sclib	url_related_articles	url_scholarbib	['bib']abstract	['bib']author	['bib']bib_id	['bib']booktitle	['bib']institution	['bib']journal	['bib']month	['bib']note	['bib']number	['bib']organization	['bib']pages	['bib']pub_type	['bib']pub_year	['bib']publisher	['bib']school	['bib']title	['bib']venue	['bib']volume
[6]	['KgZxzjsAAAAJ', '', 'HbFGylgAAAAJ', '', '']	NA	Publication	https://people.eecs.berkeley.edu/~sastry/TRUST/TRUST2005-2006.doc	True	1	0	https://people.eecs.berkeley.edu/~sastry/TRUST/TRUST2005-2006.doc	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D1.%2BBiographical%2BInformation%2Bfor%2BNew%2BFaculty%2BMembers%2B(by%2Binstitution)%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=k7AqbvkJd2gJ&ei=dYu6Zf_7OpDYyAT9hr-wBg&json=	/scholar?q=related:k7AqbvkJd2gJ:scholar.google.com/&scioq=1.+Biographical+Information+for+New+Faculty+Members+(by+institution)&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:k7AqbvkJd2gJ:scholar.google.com/&output=cite&scirp=0&hl=en	I am a joint EE/CS associate professor. Before that, I was an irresponsible graduate student in Frans Kaashoek's PDOS group at MIT's Lab for Computer Science, where I co-founded the exokernel operating system project, which formed the basis of my thesis work. I am a joint EE/CS associate professor. Before that, I was an irresponsible graduate student in Frans Kaashoek's PDOS group at MIT's Lab for Computer Science, where I co-founded the exokernel operating system project, which formed the basis of my thesis work.	Sastry, Shankar and Reiter, Mike and Wicker, Stephen and Konrad, Almudena and Meldal, Sigurd and O’Rourke, Joseph and Hall, McConnell and Mitchell, John and Sztipanovits, Janos	sastry1	NA	NA	NA	NA	NA	NA	NA	NA	article	NA	NA	NA	1. Biographical Information for New Faculty Members (by institution)	NA	NA
[4, 33]	['', 'TQMpoh8AAAAJ', 'znwO0ecAAAAJ', '', '', '']	/scholar?cites=13111622239562355265&as_sdt=2005&sciodt=0,5&hl=en	Publication	NA	True	1	3	https://books.google.com/books?hl=en&lr=&id=6kshjwWdJDwC&oi=fnd&pg=PR5&dq=Software+Engineering,+Business+Continuity,+and+Education:+International+Conferences,+ASEA,+DRBC+and+EL+2011,+Held+as+Part+of+the+Future+Generation+%E2%80%A6&ots=Xur6EDCDPa&sig=_sEzYkuZNU8W2X_aJl6qfFqYkso	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DSoftware%2BEngineering,%2BBusiness%2BContinuity,%2Band%2BEducation:%2BInternational%2BConferences,%2BASEA,%2BDRBC%2Band%2BEL%2B2011,%2BHeld%2Bas%2BPart%2Bof%2Bthe%2BFuture%2BGeneration%2B%25E2%2580%25A6%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=QdI5YvXW9bUJ&ei=tWDwZYT-IIC6y9YP4uajqAE&json=	/scholar?q=related:QdI5YvXW9bUJ:scholar.google.com/&scioq=Software+Engineering,+Business+Continuity,+and+Education:+International+Conferences,+ASEA,+DRBC+and+EL+2011,+Held+as+Part+of+the+Future+Generation+%E2%80%A6&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:QdI5YvXW9bUJ:scholar.google.com/&output=cite&scirp=0&hl=en	This book comprises selected papers of the International Conferences, ASEA, DRBC and EL 2011, held as Part of the Future Generation Information Technology Conference, FGIT 2011, in Conjunction with GDC 2011, Jeju Island, Korea, in December 2011. The papers presented were carefully reviewed and selected from numerous submissions and focuse on the various aspects of advances in software engineering and its Application, disaster recovery and business continuity, education and learning.	Kim, Tai-hoon and Adeli, Hojjat and Kim, Haeng-kon and Kang, Heau-jo and Kim, Kyung Jung and Kiumi, Akingbehin and Kang, Byeong-Ho	kim2011software	NA	NA	NA	NA	NA	NA	NA	NA	book	2011	Springer Science \& Business Media	NA	Software Engineering, Business Continuity, and Education: International Conferences, ASEA, DRBC and EL 2011, Held as Part of the Future Generation Information Technology Conference, FGIT 2011, in Conjunction with GDC 2011, Jeju Island, Korea, December 8-10, 2011. Proceedings	NA	257
[4, 6, 33]	['']	NA	Publication	NA	True	1	0	NA	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D5.1.%2BMeasurement%2BNeeds%2BTools%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=0dijPgfZEaYJ&ei=6V_wZaf6AtGcy9YP4-WF0A8&json=	/scholar?q=related:0dijPgfZEaYJ:scholar.google.com/&scioq=5.1.+Measurement+Needs+Tools&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:0dijPgfZEaYJ:scholar.google.com/&output=cite&scirp=0&hl=en		Pasteur, Louis	pasteur5	NA	NA	NA	NA	NA	NA	NA	NA	article	NA	Springer	NA	5.1. Measurement Needs Tools	NA	NA
[10, 11]	['']	NA	Publication	https://www.academia.edu/download/73344083/76692f0fedac4e88216d91ba6531dc4cf6c5.pdf	True	1	0	https://www.academia.edu/download/73344083/76692f0fedac4e88216d91ba6531dc4cf6c5.pdf	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D94-12376%2BDUC%2BQU%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=facF7sltiIEJ&ei=KJT0ZeKQGcHEy9YP9tSmkAQ&json=	/scholar?q=related:facF7sltiIEJ:scholar.google.com/&scioq=94-12376+DUC+QU&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:facF7sltiIEJ:scholar.google.com/&output=cite&scirp=0&hl=en	5.10 Summary Comments on Software Process Assessment 40 5.11 References and Further Readings-SPA 40	ECTF, A	ectf199394	NA	NA	NA	NA	NA	NA	NA	NA	article	1993	NA	NA	94-12376 DUC QU	NA	NA
[31]	['']	NA	Publication	ftp://ctan.math.utah.edu/pub/tex/bib/trets.pdf	True	1	0	ftp://ctan.math.utah.edu/pub/tex/bib/trets.pdf	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DA%2BComplete%2BBibliography%2Bof%2BACM%2BTransactions%2Bon%2BReconfigurable%2BTechnology%2Band%2BSystems%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=ymcehxDq0YwJ&ei=PHjcZZObFJiCy9YPqICOgAg&json=	/scholar?q=related:ymcehxDq0YwJ:scholar.google.com/&scioq=A+Complete+Bibliography+of+ACM+Transactions+on+Reconfigurable+Technology+and+Systems&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:ymcehxDq0YwJ:scholar.google.com/&output=cite&scirp=0&hl=en	on Reconfigurable Technology and Systems  Safe dynamic reshaping of  reconfigurable MPSoC embedded systems for self-healing and self-adaption purposes.  ACM Transactions on Re-	Beebe, Nelson HF	beebe2023complete	NA	NA	NA	NA	NA	NA	NA	NA	article	2023	NA	NA	A Complete Bibliography of ACM Transactions on Reconfigurable Technology and Systems	NA	NA
[31]	['', '']	NA	Publication	https://www.diva-portal.org/smash/get/diva2:831002/FULLTEXT01.pdf	True	1	0	https://www.diva-portal.org/smash/record.jsf?pid=diva2:831002	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DA%2BComprehensive%2BEvaluation%2Bof%2BConversion%2BApproaches%2Bfor%2BDifferent%2BFunction%2BPoints%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=izNkkBryyrEJ&ei=nnXcZYfnHMvPy9YPraeU2A4&json=	/scholar?q=related:izNkkBryyrEJ:scholar.google.com/&scioq=A+Comprehensive+Evaluation+of+Conversion+Approaches+for+Different+Function+Points&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:izNkkBryyrEJ:scholar.google.com/&output=cite&scirp=0&hl=en	Context: Software cost and effort estimation are important activities for planning and estimation of software projects. One major player for cost and effort estimation is functional size of software which can be measured in variety of methods. Having several methods for measuring one entity, converting outputs of these methods becomes important. Objectives: In this study we investigate different techniques that have been proposed for conversion between different Functional Size Measurement (FSM) techniques. We addressed	Amiri, Javad Mohammadian and Padmanabhuni, Venkata Vinod Kumar	amiri2011comprehensive	NA	NA	NA	NA	NA	NA	NA	NA	misc	2011	NA	NA	A Comprehensive Evaluation of Conversion Approaches for Different Function Points	NA	NA
[31]	['tYaoD7gAAAAJ', '', '', '']	/scholar?cites=4620313167952537930&as_sdt=2005&sciodt=0,5&hl=en	Publication	https://meral.edu.mm/record/6276/files/A%20Lightweight%20Size%20Estimation%20Approach%20for%20Embedded%20System%20using%20COSMIC%20Functional%20Size%20Measurement.pdf	True	1	2	https://meral.edu.mm/records/6276	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DA%2BLightweight%2BSize%2BEstimation%2BApproach%2Bfor%2BEmbedded%2BSystem%2Busing%2BCOSMIC%2BFunctional%2BSize%2BMeasurement%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=SunexlimHkAJ&ei=HXPcZfu7Mv-By9YPjPqUqAg&json=	/scholar?q=related:SunexlimHkAJ:scholar.google.com/&scioq=A+Lightweight+Size+Estimation+Approach+for+Embedded+System+using+COSMIC+Functional+Size+Measurement&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:SunexlimHkAJ:scholar.google.com/&output=cite&scirp=0&hl=en	Functional Size Measurement (FSM) is an important component of a software project that provides information for estimating the effort required to develop the measured software. Although the embedded software is time-consuming to develop, COSMIC FSM can be estimated to get more accurate function size. The traditional Function Point methods are designed to measure only business application domain and are problematic in the real-time domain. As a result, COSMIC Functional Size Measurement (FSM) method is designed to	Zaw, Thandar and Hlaing, Swe Zin and Lwin, Myint Myint and Ochimizu, Koichiro	zaw2017lightweight	NA	NA	NA	NA	NA	NA	NA	NA	phdthesis	2017	NA	MERAL Portal	A Lightweight Size Estimation Approach for Embedded System using COSMIC Functional Size Measurement	NA	NA
[31]	['', '', '', '']	NA	Publication	https://www.academia.edu/download/40332051/rtss04.pdf	True	1	0	https://www.academia.edu/download/40332051/rtss04.pdf	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DA%2BModel-Based%2BApproach%2Bto%2BDesigning%2BAdaptive%2BApplications%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=VfE6sWQeviQJ&ei=kHbcZce0AsvPy9YPraeU2A4&json=	/scholar?q=related:VfE6sWQeviQJ:scholar.google.com/&scioq=A+Model-Based+Approach+to+Designing+Adaptive+Applications&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:VfE6sWQeviQJ:scholar.google.com/&output=cite&scirp=0&hl=en	In this paper we present a model-based approach for designing Quality of Service adaptive applications. We have developed a prototype Distributed Modeling Environment (DQME) that captures important elements of dynamic adaptation at the model level. This environment is designed independent of; and can be integrated with, application domains to capture their features and adaptation strategies. It combines the domain-specific modeling capability of the Generic Modeling Environment with the adaptation mechanisms of the Quality Objects	Shapiro, Richard and Abdelwahed, Richard and Varner, Nagabhushan and Mahadevan, Schantz	shapiromodel	NA	NA	NA	NA	NA	NA	NA	NA	article	NA	NA	NA	A Model-Based Approach to Designing Adaptive Applications	NA	NA
[4]	['']	NA	Publication	http://openaccess.aast.edu/PDFs/Thesis/partial/76763_c.pdf	True	1	0	http://openaccess.aast.edu/PDFs/Thesis/partial/76763_c.pdf	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DA%2BPROPOSED%2BASSESSMENT%2BAPPROACH%2BFOR%2BMEASURING%2BTHE%2BIMPACT%2BOF%2BCMMI%2BIN%2BSMALL%2BAND%2BMEDIUM%2BENTERPRISES%2BIN%2BEGYPT%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=w5K8Omcx9nUJ&ei=QGu6ZZ2_O-SXy9YP1e-kmAo&json=	/scholar?q=related:w5K8Omcx9nUJ:scholar.google.com/&scioq=A+PROPOSED+ASSESSMENT+APPROACH+FOR+MEASURING+THE+IMPACT+OF+CMMI+IN+SMALL+AND+MEDIUM+ENTERPRISES+IN+EGYPT&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:w5K8Omcx9nUJ:scholar.google.com/&output=cite&scirp=0&hl=en	A software development process comprises a group of people, organization structures, rules, politics, activities, software components, methodologies and tools used or created specifically to conceptualize, develop, serve, innovate or extend a software product. Software process management is a crucial task in small and medium size enterprises (SME) due to the scarcity of resources, small development teams and heavy workload. On the other hand, process improvement is needed in order for the SMEs to satisfY their clients and meet	HAMED, ABEER SALAH ELDEEN	hamed2011proposed	NA	NA	NA	NA	NA	NA	NA	NA	phdthesis	2011	NA	Sadat Academy for Management Sciences	A PROPOSED ASSESSMENT APPROACH FOR MEASURING THE IMPACT OF CMMI IN SMALL AND MEDIUM ENTERPRISES IN EGYPT	NA	NA
[4, 5, 6, 7, 8, 9, 33, 34]	['w02r67UvCZcC', '']	/scholar?cites=1158700060590956171&as_sdt=2005&sciodt=0,5&hl=en	Publication	http://ir-library.mmust.ac.ke:8080/xmlui/bitstream/handle/123456789/1393/Munialo-THESIS.pdf?sequence=1&isAllowed=y	True	1	1	http://ir-library.mmust.ac.ke:8080/handle/123456789/1393	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DA%2BSIZE%2BMETRIC-BASED%2BEFFORT%2BESTIMATION%2BMETHOD%2BFOR%2BSERVICE%2BORIENTED%2BARCHITECTURE%2BSYSTEMS%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=i16_6JCHFBAJ&ei=PFrwZbybH7-46rQP7ZK8qAg&json=	/scholar?q=related:i16_6JCHFBAJ:scholar.google.com/&scioq=A+SIZE+METRIC-BASED+EFFORT+ESTIMATION+METHOD+FOR+SERVICE+ORIENTED+ARCHITECTURE+SYSTEMS&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:i16_6JCHFBAJ:scholar.google.com/&output=cite&scirp=0&hl=en	Service Oriented Architecture (SOA) is one of the recent software development paradigms that enablealignment of business processes into integrated services within and outside organizationsregardless of the heterogeneity of technologies used. Determining the scope, effort and cost of SOA systems is important to facilitate theplanning and eventuallysuccessful implementation of software projects. A number of methodshave been proposedto estimate effort of building SOA projects. Despite the fact that these methods are promising, the	MUNIALO, SAMSON WANJALA and WANJALA, SAMSON	munialo2020size	NA	NA	NA	NA	NA	NA	NA	NA	phdthesis	2020	NA	MMUST	A SIZE METRIC-BASED EFFORT ESTIMATION METHOD FOR SERVICE ORIENTED ARCHITECTURE SYSTEMS	NA	NA
