searchStrings	author_id	citedby_url	container_type	eprint_url	filled	gsrank	num_citations	pub_url	source	url_add_sclib	url_related_articles	url_scholarbib	['bib']abstract	['bib']author	['bib']bib_id	['bib']booktitle	['bib']institution	['bib']journal	['bib']month	['bib']note	['bib']number	['bib']organization	['bib']pages	['bib']pub_type	['bib']pub_year	['bib']publisher	['bib']school	['bib']title	['bib']venue	['bib']volume
[6]	['KgZxzjsAAAAJ', '', 'HbFGylgAAAAJ', '', '']	NA	Publication	https://people.eecs.berkeley.edu/~sastry/TRUST/TRUST2005-2006.doc	True	1	0	https://people.eecs.berkeley.edu/~sastry/TRUST/TRUST2005-2006.doc	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D1.%2BBiographical%2BInformation%2Bfor%2BNew%2BFaculty%2BMembers%2B(by%2Binstitution)%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=k7AqbvkJd2gJ&ei=dYu6Zf_7OpDYyAT9hr-wBg&json=	/scholar?q=related:k7AqbvkJd2gJ:scholar.google.com/&scioq=1.+Biographical+Information+for+New+Faculty+Members+(by+institution)&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:k7AqbvkJd2gJ:scholar.google.com/&output=cite&scirp=0&hl=en	I am a joint EE/CS associate professor. Before that, I was an irresponsible graduate student in Frans Kaashoek's PDOS group at MIT's Lab for Computer Science, where I co-founded the exokernel operating system project, which formed the basis of my thesis work. I am a joint EE/CS associate professor. Before that, I was an irresponsible graduate student in Frans Kaashoek's PDOS group at MIT's Lab for Computer Science, where I co-founded the exokernel operating system project, which formed the basis of my thesis work.	Sastry, Shankar and Reiter, Mike and Wicker, Stephen and Konrad, Almudena and Meldal, Sigurd and O’Rourke, Joseph and Hall, McConnell and Mitchell, John and Sztipanovits, Janos	sastry1	NA	NA	NA	NA	NA	NA	NA	NA	article	NA	NA	NA	1. Biographical Information for New Faculty Members (by institution)	NA	NA
[1, 2, 3, 4, 5, 6, 31, 32, 33]	['JcyHeLYAAAAJ', '', '']	/scholar?cites=240430573422071082&as_sdt=2005&sciodt=0,5&hl=en	Publication	https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0864fd00d9328c8a2903ecef3d1abbc8a9f89ed9	True	1	6	https://books.google.com/books?hl=en&lr=&id=1fFdhxO8mnIC&oi=fnd&pg=PA72&dq=1.5+ISO+Transposition+and+Clarifications+of+the+COSMIC+FFP+Method+of+Functional+Sizing&ots=MLAp1hPAC6&sig=loL9tb2KoG_OhPYMEO_wpl2mdkA	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D1.5%2BISO%2BTransposition%2Band%2BClarifications%2Bof%2Bthe%2BCOSMIC%2BFFP%2BMethod%2Bof%2BFunctional%2BSizing%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=Kk33KVUuVgMJ&ei=1nXcZejWFvXMy9YPpY2Q0A8&json=	/scholar?q=related:Kk33KVUuVgMJ:scholar.google.com/&scioq=1.5+ISO+Transposition+and+Clarifications+of+the+COSMIC+FFP+Method+of+Functional+Sizing&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:Kk33KVUuVgMJ:scholar.google.com/&output=cite&scirp=0&hl=en	Unfortunately, the ISO/IEC 14143-1 terms and definitions cannot be changed until a  formal revision process is started. In the meantime, the ISO/ IEC standard version of the  COSMIC FFP method must adopt the term already defined in ISO/IEC 14143-1, and since  our goal is to remain compatible and in sync with the international standard, the MM V2. 2  must adopt this definition. However, in the latter the  We believe that the new ISO/IEC  19761 standard for the COSMIC FFP method and the new MM V2. 2 will significantly	Abran, Alain and Fagg, Peter and Meli, Roberto and Symons, Charles R	abran20161	NA	NA	COSMIC Function Points: Theory and Advanced Practices	NA	NA	NA	NA	72	article	2016	CRC Press	NA	1.5 ISO Transposition and Clarifications of the COSMIC FFP Method of Functional Sizing	COSMIC Function Points …	NA
[4, 6, 33]	['cnGGpAIAAAAJ']	/scholar?cites=16017876355177795081&as_sdt=2005&sciodt=0,5&hl=en	Publication	NA	True	1	64	https://www.emerald.com/insight/content/doi/10.1108/09544780710745649/full/html	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DPerforming%2Bthe%2BMeasurement%2BProcess%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=CU6Avq3tSt4J&ei=dGDwZd7IKbec6rQPptSWqA8&json=	/scholar?q=related:CU6Avq3tSt4J:scholar.google.com/&scioq=Performing+the+Measurement+Process&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:CU6Avq3tSt4J:scholar.google.com/&output=cite&scirp=0&hl=en	of errors in the performance measurement process, we started with the places where people  conduct daily organizational activities, in particular, measuring activities. The subsequent	Elg, Mattias	elg2007process	NA	NA	The TQM Magazine	NA	NA	3	NA	217--228	article	2007	Emerald Group Publishing Limited	NA	The process of constructing performance measurement	The TQM Magazine	19
[4, 5, 6, 31, 33]	['']	/scholar?cites=261860580208250801&as_sdt=2005&sciodt=0,5&hl=en	Publication	https://www.ifpug.org/wp-content/uploads/2021/10/MetricViewsFebruary2016.pdf	True	1	5	https://www.ifpug.org/wp-content/uploads/2021/10/MetricViewsFebruary2016.pdf	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DIn%2Bthis%2Bedition%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=sY_9b89QogMJ&ei=eVrwZZbWJfqXy9YPu4an-A8&json=	/scholar?q=related:sY_9b89QogMJ:scholar.google.com/&scioq=In+this+edition&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:sY_9b89QogMJ:scholar.google.com/&output=cite&scirp=0&hl=en	Defect potentials and defect removal efficiency (DRE) are useful quality metrics developed by IBM circa 1973 and widely used by technology companies as well as by banks, insurance companies, and other organizations with large software staffs. Defect potentials are the sum total of bugs found in requirements, architecture, design, code, and other sources of error. The approximate US average for defect potentials is shown in table 1 using IFPUG function points version 4.3:. Function point metrics were also invented by IBM in the same time period	Edition, Gauteng	edition2019edition	NA	NA	ISBN-13	NA	NA	NA	NA	978--0262693561	article	2019	NA	NA	In this edition	ISBN-13	NA
[4, 5, 6, 33]	['']	NA	Publication	NA	True	1	0	https://link.springer.com/content/pdf/10.1007/978-3-319-03629-8.pdf#page=444	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D17.6%2BLast%2BBut%2BNot%2BLeast...%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=nm3uo5Cp6WEJ&ei=01_wZcnVHr-46rQP7ZK8qAg&json=	/scholar?q=related:nm3uo5Cp6WEJ:scholar.google.com/&scioq=17.6+Last+But+Not+Least...&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:nm3uo5Cp6WEJ:scholar.google.com/&output=cite&scirp=0&hl=en	Many years of experience gained over multiple studies and context show that simple estimation  methods work at least as effectively as complex ones. Yet, the cost of introducing, using,	J{\o}rgensen, Magne	jorgensen17	NA	NA	Software Project Effort Estimation	NA	NA	NA	NA	430	article	NA	Springer	NA	17.6 Last But Not Least...	Software Project Effort Estimation	NA
[4, 6, 33]	['']	NA	Publication	NA	True	1	0	NA	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D5.1.%2BMeasurement%2BNeeds%2BTools%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=0dijPgfZEaYJ&ei=6V_wZaf6AtGcy9YP4-WF0A8&json=	/scholar?q=related:0dijPgfZEaYJ:scholar.google.com/&scioq=5.1.+Measurement+Needs+Tools&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:0dijPgfZEaYJ:scholar.google.com/&output=cite&scirp=0&hl=en		Pasteur, Louis	pasteur5	NA	NA	NA	NA	NA	NA	NA	NA	article	NA	Springer	NA	5.1. Measurement Needs Tools	NA	NA
[4, 6, 31, 33]	['8fPEWLgAAAAJ', 'U2KbjvEAAAAJ', 'PV4V4iMAAAAJ']	/scholar?cites=12436163280463790883&as_sdt=2005&sciodt=0,5&hl=en	Publication	https://authors.library.caltech.edu/17597/1/Konca2010p7133B_Seismol_Soc_Am.pdf	True	1	93	https://pubs.geoscienceworld.org/ssa/bssa/article-abstract/100/1/267/349393	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D7.1.%2BThe%2BImportance%2Bof%2BEstimation%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=IwPNLJ0glqwJ&ei=IXfcZZi_IcCOy9YPlbSLgAg&json=	/scholar?q=related:IwPNLJ0glqwJ:scholar.google.com/&scioq=7.1.+The+Importance+of+Estimation&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:IwPNLJ0glqwJ:scholar.google.com/&output=cite&scirp=0&hl=en	We analyze the rupture process of the 1999 M w 7.1 Duzce earthquake using seismological,  remote sensing, and geodetic data. Ground deformation measured from the subpixel cross	Konca, A Ozgun and Leprince, Sebastien and Avouac, Jean-Philippe and Helmberger, Don V	konca2010rupture	NA	NA	Bulletin of the Seismological Society of America	NA	NA	1	NA	267--288	article	2010	Seismological Society of America	NA	Rupture process of the 1999 M W 7.1 Duzce earthquake from joint analysis of SPOT, GPS, InSAR, strong-motion, and teleseismic data: a supershear rupture with variable rupture velocity	Bulletin of the …	100
[4, 5, 6, 31, 33]	['BClNO4sAAAAJ', 'UoRyg6gAAAAJ']	/scholar?cites=13514016301756068403&as_sdt=2005&sciodt=0,5&hl=en	Publication	https://www.sciencedirect.com/science/article/pii/S131915781831317X	True	1	22	https://www.sciencedirect.com/science/article/pii/S131915781831317X	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DA%2BCOSMIC%2Bfunction%2Bpoints%2Bbased%2Btest%2Beffort%2Bestimation%2Bmodel%2Bfor%2Bmobile%2Bapplications%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=MzIC4zlui7sJ&ei=lnPcZZeZO9vWy9YP6f6YsAI&json=	/scholar?q=related:MzIC4zlui7sJ:scholar.google.com/&scioq=A+COSMIC+function+points+based+test+effort+estimation+model+for+mobile+applications&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:MzIC4zlui7sJ:scholar.google.com/&output=cite&scirp=0&hl=en	With the substantial proliferation in demand for applications running on mobile devices, developers and testers are foreseen to release applications with high caliber, on time and inside budget. Mobile application testing is imperative and perilous activity in the application development lifecycle, which confirms quality and unswervingly impacts the development effort and affluence of the application. The estimation of effort for testing of apps is a key figure that helps test managers in making approximate accurate decisions for coordinating	Kaur, Anureet and Kaur, Kulwant	kaur2022cosmic	NA	NA	Journal of King Saud University-Computer and Information Sciences	NA	NA	3	NA	946--963	article	2022	Elsevier	NA	A COSMIC function points based test effort estimation model for mobile applications	Journal of King Saud University-Computer and …	34
[4, 5, 6, 31, 33]	['otmdDLoAAAAJ', 'Xo2EwKQAAAAJ', '']	/scholar?cites=4367675188507062164&as_sdt=2005&sciodt=0,5&hl=en	Publication	https://faculty.washington.edu/ajko/papers/Ko2014News.pdf	True	1	16	https://dl.acm.org/doi/abs/10.1145/2593702.2593719	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DSoftware%2BMeasurement%2BNews%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=lC9AaXEZnTwJ&ei=_XbcZZreEYO26rQP3dyg0AE&json=	/scholar?q=related:lC9AaXEZnTwJ:scholar.google.com/&scioq=Software+Measurement+News&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:lC9AaXEZnTwJ:scholar.google.com/&output=cite&scirp=0&hl=en	of 386,381 news articles, pulled from news sources both large and small in circulation. We  explore a broad notion of software  Our measurement therefore says little about the cumulative	Ko, Amy J and Dosono, Bryan and Duriseti, Neeraja	ko2014thirty	Proceedings of the 7th International Workshop on Cooperative and Human Aspects of Software Engineering	NA	NA	NA	NA	NA	NA	32--39	inproceedings	2014	NA	NA	Thirty years of software problems in the news	… and Human Aspects of Software …	NA
[6, 33]	['4HISXCgAAAAJ', 's6ofriEAAAAJ', 'XOvoWpgAAAAJ']	/scholar?cites=13157750756674392443&as_sdt=2005&sciodt=0,5&hl=en	Publication	http://www.jatit.org/volumes/Vol63No1/9Vol63No1.pdf	True	1	4	http://www.jatit.org/volumes/Vol63No1/9Vol63No1.pdf	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DA%2BREFERENCE%2BMODEL%2BOF%2BSECURITY%2BREQUIREMENTS%2BFOR%2BEARLY%2BIDENTIFICATION%2BAND%2BMEASUREMENT%2BOF%2BSECURITY%2BAWARENESS%2BPROGRAM.%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=e1G0tpm4mbYJ&ei=Xl_wZajxJNOvy9YPsYKm6A4&json=	/scholar?q=related:e1G0tpm4mbYJ:scholar.google.com/&scioq=A+REFERENCE+MODEL+OF+SECURITY+REQUIREMENTS+FOR+EARLY+IDENTIFICATION+AND+MEASUREMENT+OF+SECURITY+AWARENESS+PROGRAM.&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:e1G0tpm4mbYJ:scholar.google.com/&output=cite&scirp=0&hl=en	In practice, at software/system requirements assembly stages, the focus is regularly on the software security requirements as usually described at the system level this may lead to explicit security-related product which may be implemented as both in system and software. According to the ECSS standards internal security awareness is restricted to avoid illegal access to the software system and confidential data while the external security requirements related awareness is failing to put off the leak of secure output data awareness and illegal	Maqousi, Ali and Balikhina, Tatiana and Meridji, Kenza and Al-Sarayreh, Khalid T	maqousi2014reference	NA	NA	Journal of Theoretical \& Applied Information Technology	NA	NA	1	NA	NA	article	2014	NA	NA	A REFERENCE MODEL OF SECURITY REQUIREMENTS FOR EARLY IDENTIFICATION AND MEASUREMENT OF SECURITY AWARENESS PROGRAM.	Journal of Theoretical & …	63
