searchStrings	author_id	citedby_url	container_type	eprint_url	filled	gsrank	num_citations	pub_url	source	url_add_sclib	url_related_articles	url_scholarbib	['bib']abstract	['bib']author	['bib']bib_id	['bib']booktitle	['bib']institution	['bib']journal	['bib']month	['bib']note	['bib']number	['bib']organization	['bib']pages	['bib']pub_type	['bib']pub_year	['bib']publisher	['bib']school	['bib']title	['bib']venue	['bib']volume
[33]	['zfFD848AAAAJ', '5EsGtt0AAAAJ']	/scholar?cites=11565073624004068432&as_sdt=2005&sciodt=0,5&hl=en	Publication	http://calimar.com/mbone_use_case_estimation.pdf	True	1	3	https://incose.onlinelibrary.wiley.com/doi/abs/10.1002/j.2334-5837.2011.tb01189.x	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D1.4.%2B3%2BApplying%2BSystems%2BEngineering%2BModeling%2BLanguage%2B(SysML)%2Bto%2BSystem%2BEffort%2BEstimation%2BUtilizing%2BUse%2BCase%2BPoints%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=UIQAyC9lf6AJ&ei=sl_wZd3YH4C6y9YP4uajqAE&json=	/scholar?q=related:UIQAyC9lf6AJ:scholar.google.com/&scioq=1.4.+3+Applying+Systems+Engineering+Modeling+Language+(SysML)+to+System+Effort+Estimation+Utilizing+Use+Case+Points&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:UIQAyC9lf6AJ:scholar.google.com/&output=cite&scirp=0&hl=en	This paper proposes that as model based systems engineering begins to play a larger role in system development it may be utilized in estimating systems effort, making model based systems engineering more valuable to system engineering. This paper proposes to extend the Use Case Points (UCP) estimating approach, used by some software engineers, to SysML for estimating the systems engineering effort. The paper reviews literature that encourages the notion of a UCP method for Systems Engineering (UCPSE). Finally the	Bone, Mary Alice and Cloutier, Robert	bone20111	INCOSE International Symposium	NA	NA	NA	NA	1	Wiley Online Library	114--127	inproceedings	2011	NA	NA	1.4. 3 Applying Systems Engineering Modeling Language (SysML) to System Effort Estimation Utilizing Use Case Points	INCOSE International Symposium	21
[1, 2, 3, 4, 5, 6, 31, 32, 33]	['JcyHeLYAAAAJ', '', '']	/scholar?cites=240430573422071082&as_sdt=2005&sciodt=0,5&hl=en	Publication	https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0864fd00d9328c8a2903ecef3d1abbc8a9f89ed9	True	1	6	https://books.google.com/books?hl=en&lr=&id=1fFdhxO8mnIC&oi=fnd&pg=PA72&dq=1.5+ISO+Transposition+and+Clarifications+of+the+COSMIC+FFP+Method+of+Functional+Sizing&ots=MLAp1hPAC6&sig=loL9tb2KoG_OhPYMEO_wpl2mdkA	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D1.5%2BISO%2BTransposition%2Band%2BClarifications%2Bof%2Bthe%2BCOSMIC%2BFFP%2BMethod%2Bof%2BFunctional%2BSizing%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=Kk33KVUuVgMJ&ei=1nXcZejWFvXMy9YPpY2Q0A8&json=	/scholar?q=related:Kk33KVUuVgMJ:scholar.google.com/&scioq=1.5+ISO+Transposition+and+Clarifications+of+the+COSMIC+FFP+Method+of+Functional+Sizing&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:Kk33KVUuVgMJ:scholar.google.com/&output=cite&scirp=0&hl=en	Unfortunately, the ISO/IEC 14143-1 terms and definitions cannot be changed until a  formal revision process is started. In the meantime, the ISO/ IEC standard version of the  COSMIC FFP method must adopt the term already defined in ISO/IEC 14143-1, and since  our goal is to remain compatible and in sync with the international standard, the MM V2. 2  must adopt this definition. However, in the latter the  We believe that the new ISO/IEC  19761 standard for the COSMIC FFP method and the new MM V2. 2 will significantly	Abran, Alain and Fagg, Peter and Meli, Roberto and Symons, Charles R	abran20161	NA	NA	COSMIC Function Points: Theory and Advanced Practices	NA	NA	NA	NA	72	article	2016	CRC Press	NA	1.5 ISO Transposition and Clarifications of the COSMIC FFP Method of Functional Sizing	COSMIC Function Points …	NA
[4, 6, 33]	['cnGGpAIAAAAJ']	/scholar?cites=16017876355177795081&as_sdt=2005&sciodt=0,5&hl=en	Publication	NA	True	1	64	https://www.emerald.com/insight/content/doi/10.1108/09544780710745649/full/html	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DPerforming%2Bthe%2BMeasurement%2BProcess%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=CU6Avq3tSt4J&ei=dGDwZd7IKbec6rQPptSWqA8&json=	/scholar?q=related:CU6Avq3tSt4J:scholar.google.com/&scioq=Performing+the+Measurement+Process&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:CU6Avq3tSt4J:scholar.google.com/&output=cite&scirp=0&hl=en	of errors in the performance measurement process, we started with the places where people  conduct daily organizational activities, in particular, measuring activities. The subsequent	Elg, Mattias	elg2007process	NA	NA	The TQM Magazine	NA	NA	3	NA	217--228	article	2007	Emerald Group Publishing Limited	NA	The process of constructing performance measurement	The TQM Magazine	19
[4, 5, 6, 31, 33]	['']	/scholar?cites=261860580208250801&as_sdt=2005&sciodt=0,5&hl=en	Publication	https://www.ifpug.org/wp-content/uploads/2021/10/MetricViewsFebruary2016.pdf	True	1	5	https://www.ifpug.org/wp-content/uploads/2021/10/MetricViewsFebruary2016.pdf	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DIn%2Bthis%2Bedition%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=sY_9b89QogMJ&ei=eVrwZZbWJfqXy9YPu4an-A8&json=	/scholar?q=related:sY_9b89QogMJ:scholar.google.com/&scioq=In+this+edition&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:sY_9b89QogMJ:scholar.google.com/&output=cite&scirp=0&hl=en	Defect potentials and defect removal efficiency (DRE) are useful quality metrics developed by IBM circa 1973 and widely used by technology companies as well as by banks, insurance companies, and other organizations with large software staffs. Defect potentials are the sum total of bugs found in requirements, architecture, design, code, and other sources of error. The approximate US average for defect potentials is shown in table 1 using IFPUG function points version 4.3:. Function point metrics were also invented by IBM in the same time period	Edition, Gauteng	edition2019edition	NA	NA	ISBN-13	NA	NA	NA	NA	978--0262693561	article	2019	NA	NA	In this edition	ISBN-13	NA
[4, 5, 6, 33]	['']	NA	Publication	NA	True	1	0	https://link.springer.com/content/pdf/10.1007/978-3-319-03629-8.pdf#page=444	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D17.6%2BLast%2BBut%2BNot%2BLeast...%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=nm3uo5Cp6WEJ&ei=01_wZcnVHr-46rQP7ZK8qAg&json=	/scholar?q=related:nm3uo5Cp6WEJ:scholar.google.com/&scioq=17.6+Last+But+Not+Least...&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:nm3uo5Cp6WEJ:scholar.google.com/&output=cite&scirp=0&hl=en	Many years of experience gained over multiple studies and context show that simple estimation  methods work at least as effectively as complex ones. Yet, the cost of introducing, using,	J{\o}rgensen, Magne	jorgensen17	NA	NA	Software Project Effort Estimation	NA	NA	NA	NA	430	article	NA	Springer	NA	17.6 Last But Not Least...	Software Project Effort Estimation	NA
[1]	['', '']	NA	Publication	https://srmvalliammai.ac.in/wp-content/uploads/2022/04/m.b.a.pdf#page=38	True	1	0	https://srmvalliammai.ac.in/wp-content/uploads/2022/04/m.b.a.pdf#page=38	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D1915208%2BDATA%2BANALYSIS%2BAND%2BBUSINESS%2BMODELLING%2BLTPC%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=EmbcIYd55BEJ&ei=UBu6ZZD4BITHy9YP_aOHcA&json=	/scholar?q=related:EmbcIYd55BEJ:scholar.google.com/&scioq=1915208+DATA+ANALYSIS+AND+BUSINESS+MODELLING+LTPC&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:EmbcIYd55BEJ:scholar.google.com/&output=cite&scirp=0&hl=en	• To introduce the students the basics of Data analysis using SPSS.  • Students will be  able to apply various models in developing Competitive Analysis.  Prevention of defection–Models  of CRM–CRM road map for business applications-Supplier	PO, POCOMPOP and PO, PO4 PO5 PO6 PO	po11915208	NA	NA	SRM VALLIAMMAI ENGINEERING COLLEGE	NA	NA	NA	NA	37	article	NA	NA	NA	1915208 DATA ANALYSIS AND BUSINESS MODELLING LTPC	SRM VALLIAMMAI ENGINEERING COLLEGE	1
[31]	['']	/scholar?cites=13022160759673663145&as_sdt=2005&sciodt=0,5&hl=en	Publication	https://www.researchgate.net/profile/Luca-Santillo-2/publication/252790293_Functional_details_visualization_and_classification_in_the_COSMIC_FSM_framework/links/02e7e537e411ea0618000000/Functional-details-visualization-and-classification-in-the-COSMIC-FSM-framework.pdf	True	1	1	https://books.google.com/books?hl=en&lr=&id=1fFdhxO8mnIC&oi=fnd&pg=PA111&dq=2.2+Functional+Details+Visualization+and+Classification+in+the+COSMIC+FSM+Framework&ots=MLAp1hOCK7&sig=lNETvwQlwd3yggn82PtT7kkSjhE	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D2.2%2BFunctional%2BDetails%2BVisualization%2Band%2BClassification%2Bin%2Bthe%2BCOSMIC%2BFSM%2BFramework%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=qS5hcDcCuLQJ&ei=B3PcZYayJrDDy9YPzfW0sAI&json=	/scholar?q=related:qS5hcDcCuLQJ:scholar.google.com/&scioq=2.2+Functional+Details+Visualization+and+Classification+in+the+COSMIC+FSM+Framework&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:qS5hcDcCuLQJ:scholar.google.com/&output=cite&scirp=0&hl=en	For software developers, the ability to measure the size of software from its functional requirements or specifications early in the life of a project is a first key step for estimating development effort. Further, as the functional size measure is independent of the technology used, it provides a key component for software project performance measures such as productivity. The Common Software Metrics Consortium (COSMIC) was founded in late 1998 as a voluntary association of software measurement experts from Australia, Canada	Santillo, Luca	santillo20162	NA	NA	COSMIC Function Points: Theory and Advanced Practices	NA	NA	NA	NA	111	article	2016	CRC Press	NA	2.2 Functional Details Visualization and Classification in the COSMIC FSM Framework	COSMIC Function Points: Theory and Advanced …	NA
[31]	['']	NA	Publication	http://ndl.ethernet.edu.et/bitstream/123456789/21550/1/15.pdf#page=98	True	1	0	https://link.springer.com/content/pdf/10.1007/978-3-642-53742-4.pdf#page=98	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D3.2.%2B5%2BBehavior%2BPlanning%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=o7sAUuereRQJ&ei=EnjcZYuYO_-By9YPjPqUqAg&json=	/scholar?q=related:o7sAUuereRQJ:scholar.google.com/&scioq=3.2.+5+Behavior+Planning&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:o7sAUuereRQJ:scholar.google.com/&output=cite&scirp=0&hl=en	When modeling a planning domain for behavior planning of  within the framework of PDDL  (Planning Domain Definition Language,  In case the of behavior planning, the executed partial	Hartmann, Philip	hartmann20143	NA	NA	Dependability of Self-optimizing Mechatronic Systems	NA	NA	NA	NA	84	article	2014	Springer	NA	3.2. 5 Behavior Planning	Dependability of Self-optimizing Mechatronic Systems	NA
[31]	['JcyHeLYAAAAJ', 'X1GJ1oYAAAAJ', '']	/scholar?cites=12575881878590777938&as_sdt=2005&sciodt=0,5&hl=en	Publication	http://publicationslist.org.s3.amazonaws.com/data/a.abran/ref-2266/906.pdf	True	1	61	https://books.google.com/books?hl=en&lr=&id=1fFdhxO8mnIC&oi=fnd&pg=PA214&dq=3.5+measurement+convertibility%E2%80%94from+function+points+to+cosmic+ffp&ots=MLAp1hPzE6&sig=Dj0xJQkzbcNre61qumzDYKgNXn4	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D3.5%2Bmeasurement%2Bconvertibility%25E2%2580%2594from%2Bfunction%2Bpoints%2Bto%2Bcosmic%2Bffp%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=UuqsTvCBhq4J&ei=hnXcZZyxC_-By9YPjPqUqAg&json=	/scholar?q=related:UuqsTvCBhq4J:scholar.google.com/&scioq=3.5+measurement+convertibility%E2%80%94from+function+points+to+cosmic+ffp&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:UuqsTvCBhq4J:scholar.google.com/&output=cite&scirp=0&hl=en	Since the late 1970s, function points have been used as a measure of software size to calculate project productivity and project estimates. Even though a large number of variants of the function point analysis (FPA) method have been© 2011 by Taylor & Francis Group, LLC	Abran, Alain and Desharnais, Jean-Marc and Aziz, Fatima	abran20163	NA	NA	Cosmic Function Points: Theory and Advanced Practices	NA	NA	NA	NA	NA	article	2016	NA	NA	3.5 measurement convertibility—from function points to cosmic ffp	Cosmic Function Points: Theory …	214
[31]	['', 'Xd9VweQAAAAJ', 'cvq59cYAAAAJ', '']	NA	Publication	NA	True	1	0	https://link.springer.com/chapter/10.1007/978-3-030-66777-1_9	PublicationSource.PUBLICATION_SEARCH_SNIPPET	/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D3D%2BVisual%2BInteraction%2Bfor%2BCultural%2BHeritage%2BSector%26hl%3Den%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=0rXKxd96ekIJ&ei=AHjcZdiPIf-By9YPjPqUqAg&json=	/scholar?q=related:0rXKxd96ekIJ:scholar.google.com/&scioq=3D+Visual+Interaction+for+Cultural+Heritage+Sector&hl=en&as_sdt=0,5	/scholar?hl=en&q=info:0rXKxd96ekIJ:scholar.google.com/&output=cite&scirp=0&hl=en	During the past three decades, digital cultural heritage deployment in the communication domain has changed significantly. One of the main interests of heritage curation institutions and research is to implement user-friendly 3D visual interaction system to museums visitors. In this chapter, we firstly reviewed human-computer interaction techniques used in the cultural heritage sector, followed by details of hand gesture recognition applications implemented in the cultural heritage context. In attempting to improve user experiences for	Alfaqheri, Taha and Ahmed, Hosameldin Osman and Belhi, Abdelhak and Sadka, Abdul Hamid and Bouras, Abdelaziz	alfaqheri20213d	NA	NA	Data Analytics for Cultural Heritage: Current Trends and Concepts	NA	NA	NA	NA	195--232	article	2021	Springer	NA	3D Visual Interaction for Cultural Heritage Sector	Data Analytics for …	NA
